Data S3. Exaiptasia diaphana (Aiptasia) F003 strain-specific gene models identified by OrthoVenn3, including orthogroup assignments and functional annotations.				
Orthologs Group ID	# Proteins	Protein ID	Swiss-Prot Hit	GO Annotation
cluster1213	6	F003|KAN1697560.1;F003|KAN1697561.1;F003|KAN1700758.1;F003|KAN1700879.1;F003|KAN1703019.1;F003|KAN1703020.1		
cluster1214	6	F003|KAN1697771.1;F003|KAN1697772.1;F003|KAN1701549.1;F003|KAN1704184.1;F003|KAN1719845.1;F003|KAN1719846.1		
cluster1215	6	F003|KAN1697805.1;F003|KAN1698223.1;F003|KAN1699175.1;F003|KAN1702282.1;F003|KAN1706099.1;F003|KAN1711590.1		
cluster1216	6	F003|KAN1697973.1;F003|KAN1700050.1;F003|KAN1701093.1;F003|KAN1702180.1;F003|KAN1704356.1;F003|KAN1714801.1		
cluster1217	6	F003|KAN1699423.1;F003|KAN1701651.1;F003|KAN1701660.1;F003|KAN1703260.1;F003|KAN1703272.1;F003|KAN1704173.1	Q5ZK63	GO:0060261; P:positive regulation of transcription initiation from RNA polymerase II promoter; IBA:GO_Central
cluster1218	6	F003|KAN1699566.1;F003|KAN1702192.1;F003|KAN1702616.1;F003|KAN1706712.1;F003|KAN1709854.1;F003|KAN1713522.1		
cluster1219	6	F003|KAN1699630.1;F003|KAN1699631.1;F003|KAN1704931.1;F003|KAN1713906.1;F003|KAN1718462.1;F003|KAN1718722.1		
cluster1220	6	F003|KAN1700158.1;F003|KAN1705922.1;F003|KAN1710224.1;F003|KAN1711253.1;F003|KAN1711254.1;F003|KAN1714494.1		
cluster1221	6	F003|KAN1700668.1;F003|KAN1701875.1;F003|KAN1701877.1;F003|KAN1701878.1;F003|KAN1704532.1;F003|KAN1704533.1		
cluster1222	6	F003|KAN1701530.1;F003|KAN1702605.1;F003|KAN1705857.1;F003|KAN1707659.1;F003|KAN1719740.1;F003|KAN1719741.1		
cluster1864	5	F003|KAN1694629.1;F003|KAN1700228.1;F003|KAN1700677.1;F003|KAN1701561.1;F003|KAN1704136.1		
cluster1865	5	F003|KAN1694666.1;F003|KAN1706058.1;F003|KAN1706063.1;F003|KAN1708826.1;F003|KAN1709170.1	P47032	GO:0015918; P:sterol transport; IMP:SGD
cluster1866	5	F003|KAN1694701.1;F003|KAN1700983.1;F003|KAN1703633.1;F003|KAN1704445.1;F003|KAN1707002.1		
cluster1867	5	F003|KAN1694707.1;F003|KAN1695666.1;F003|KAN1702602.1;F003|KAN1702603.1;F003|KAN1703893.1		
cluster1868	5	F003|KAN1694867.1;F003|KAN1710795.1;F003|KAN1710796.1;F003|KAN1710799.1;F003|KAN1711394.1		
cluster1869	5	F003|KAN1694889.1;F003|KAN1696085.1;F003|KAN1697338.1;F003|KAN1697670.1;F003|KAN1699655.1		
cluster1870	5	F003|KAN1694893.1;F003|KAN1695729.1;F003|KAN1696147.1;F003|KAN1698443.1;F003|KAN1703247.1		
cluster1871	5	F003|KAN1694942.1;F003|KAN1697520.1;F003|KAN1700710.1;F003|KAN1703679.1;F003|KAN1715187.1	Q9EPT4	GO:0008203; P:cholesterol metabolic process; ISS:UniProtKB
cluster1872	5	F003|KAN1694957.1;F003|KAN1699782.1;F003|KAN1701798.1;F003|KAN1702835.1;F003|KAN1708311.1		
cluster1873	5	F003|KAN1694988.1;F003|KAN1695819.1;F003|KAN1703473.1;F003|KAN1704406.1;F003|KAN1710872.1		
cluster1874	5	F003|KAN1695048.1;F003|KAN1696610.1;F003|KAN1696693.1;F003|KAN1697306.1;F003|KAN1700917.1		
cluster1875	5	F003|KAN1695090.1;F003|KAN1695091.1;F003|KAN1704322.1;F003|KAN1717569.1;F003|KAN1719664.1		
cluster1876	5	F003|KAN1695119.1;F003|KAN1697115.1;F003|KAN1702414.1;F003|KAN1704128.1;F003|KAN1723031.1		
cluster1877	5	F003|KAN1695176.1;F003|KAN1696052.1;F003|KAN1697312.1;F003|KAN1702119.1;F003|KAN1707001.1		
cluster1878	5	F003|KAN1695187.1;F003|KAN1695714.1;F003|KAN1698126.1;F003|KAN1700498.1;F003|KAN1709343.1		
cluster1879	5	F003|KAN1695203.1;F003|KAN1696104.1;F003|KAN1700900.1;F003|KAN1701228.1;F003|KAN1702098.1		
cluster1880	5	F003|KAN1695493.1;F003|KAN1697590.1;F003|KAN1703488.1;F003|KAN1703489.1;F003|KAN1708753.1	Q14185	GO:0048010; P:vascular endothelial growth factor receptor signaling pathway; TAS:Reactome
cluster1881	5	F003|KAN1695498.1;F003|KAN1696175.1;F003|KAN1697829.1;F003|KAN1701271.1;F003|KAN1702057.1		
cluster1882	5	F003|KAN1695541.1;F003|KAN1695686.1;F003|KAN1696259.1;F003|KAN1699781.1;F003|KAN1702836.1		
cluster1883	5	F003|KAN1695601.1;F003|KAN1695818.1;F003|KAN1697420.1;F003|KAN1697494.1;F003|KAN1701867.1	Q7XJE5	GO:0043069; P:negative regulation of programmed cell death; IGI:TAIR
cluster1884	5	F003|KAN1695688.1;F003|KAN1701263.1;F003|KAN1703919.1;F003|KAN1710183.1;F003|KAN1710803.1		
cluster1885	5	F003|KAN1695753.1;F003|KAN1696663.1;F003|KAN1696674.1;F003|KAN1699194.1;F003|KAN1717560.1		
cluster1886	5	F003|KAN1695842.1;F003|KAN1698786.1;F003|KAN1700113.1;F003|KAN1701923.1;F003|KAN1707893.1		
cluster1887	5	F003|KAN1695853.1;F003|KAN1695883.1;F003|KAN1696995.1;F003|KAN1698494.1;F003|KAN1714517.1		
cluster1888	5	F003|KAN1695982.1;F003|KAN1696065.1;F003|KAN1699218.1;F003|KAN1703909.1;F003|KAN1711770.1		
cluster1889	5	F003|KAN1696032.1;F003|KAN1696083.1;F003|KAN1696808.1;F003|KAN1698738.1;F003|KAN1704084.1		
cluster1890	5	F003|KAN1696055.1;F003|KAN1697375.1;F003|KAN1700034.1;F003|KAN1700035.1;F003|KAN1709004.1		
cluster1891	5	F003|KAN1696222.1;F003|KAN1696505.1;F003|KAN1696550.1;F003|KAN1703544.1;F003|KAN1723189.1	Q9P0U3	GO:0010724; P:regulation of definitive erythrocyte differentiation; IEA:Ensembl
cluster1892	5	F003|KAN1696311.1;F003|KAN1698602.1;F003|KAN1703444.1;F003|KAN1704443.1;F003|KAN1704448.1	P90648	GO:1903013; P:response to differentiation-inducing factor 1; HDA:dictyBase
cluster1893	5	F003|KAN1696413.1;F003|KAN1699337.1;F003|KAN1699753.1;F003|KAN1703655.1;F003|KAN1704368.1	Q9UTG2	GO:0006511; P:ubiquitin-dependent protein catabolic process; IBA:GO_Central
cluster1894	5	F003|KAN1696696.1;F003|KAN1700558.1;F003|KAN1712974.1;F003|KAN1712977.1;F003|KAN1720049.1		
cluster1895	5	F003|KAN1697339.1;F003|KAN1698961.1;F003|KAN1698962.1;F003|KAN1703393.1;F003|KAN1703394.1		
cluster1896	5	F003|KAN1697578.1;F003|KAN1701034.1;F003|KAN1701395.1;F003|KAN1702033.1;F003|KAN1707917.1		
cluster1897	5	F003|KAN1697675.1;F003|KAN1698576.1;F003|KAN1700104.1;F003|KAN1702221.1;F003|KAN1704259.1	Q801F8	GO:0043565; F:sequence-specific DNA binding; IEA:InterPro
cluster1898	5	F003|KAN1697711.1;F003|KAN1698593.1;F003|KAN1698594.1;F003|KAN1706778.1;F003|KAN1706779.1	Q66S03	GO:0006954; P:inflammatory response; IEA:UniProtKB-KW
cluster1899	5	F003|KAN1697915.1;F003|KAN1700048.1;F003|KAN1701090.1;F003|KAN1701091.1;F003|KAN1714799.1		
cluster1900	5	F003|KAN1697976.1;F003|KAN1699139.1;F003|KAN1701267.1;F003|KAN1702177.1;F003|KAN1714803.1		
cluster1901	5	F003|KAN1698382.1;F003|KAN1698608.1;F003|KAN1699439.1;F003|KAN1700042.1;F003|KAN1700585.1		
cluster1902	5	F003|KAN1698479.1;F003|KAN1699101.1;F003|KAN1699181.1;F003|KAN1701025.1;F003|KAN1701846.1		
cluster1903	5	F003|KAN1698553.1;F003|KAN1698859.1;F003|KAN1700156.1;F003|KAN1701547.1;F003|KAN1704879.1		
cluster1904	5	F003|KAN1698722.1;F003|KAN1700436.1;F003|KAN1702152.1;F003|KAN1710712.1;F003|KAN1717837.1		
cluster1905	5	F003|KAN1699503.1;F003|KAN1699911.1;F003|KAN1709522.1;F003|KAN1721329.1;F003|KAN1721330.1	F1MV99	GO:0050796; P:regulation of insulin secretion; IBA:GO_Central
cluster1906	5	F003|KAN1699550.1;F003|KAN1700565.1;F003|KAN1702653.1;F003|KAN1706425.1;F003|KAN1706664.1	P15989	GO:0003429; P:growth plate cartilage chondrocyte morphogenesis; IBA:GO_Central
cluster1907	5	F003|KAN1699599.1;F003|KAN1702003.1;F003|KAN1702007.1;F003|KAN1703967.1;F003|KAN1704841.1		
cluster1908	5	F003|KAN1700056.1;F003|KAN1707548.1;F003|KAN1709024.1;F003|KAN1710804.1;F003|KAN1713230.1		
cluster1909	5	F003|KAN1700557.1;F003|KAN1703289.1;F003|KAN1704515.1;F003|KAN1709884.1;F003|KAN1720499.1		
cluster1910	5	F003|KAN1700821.1;F003|KAN1700882.1;F003|KAN1704289.1;F003|KAN1706853.1;F003|KAN1706856.1		
cluster1911	5	F003|KAN1711189.1;F003|KAN1711190.1;F003|KAN1711191.1;F003|KAN1711195.1;F003|KAN1711196.1		
cluster3194	4	F003|KAN1694647.1;F003|KAN1695101.1;F003|KAN1698679.1;F003|KAN1715268.1		
cluster3195	4	F003|KAN1694654.1;F003|KAN1695558.1;F003|KAN1697807.1;F003|KAN1700311.1		
cluster3196	4	F003|KAN1694669.1;F003|KAN1697974.1;F003|KAN1700051.1;F003|KAN1702179.1		
cluster3197	4	F003|KAN1694708.1;F003|KAN1696552.1;F003|KAN1696553.1;F003|KAN1698135.1		
cluster3198	4	F003|KAN1694803.1;F003|KAN1699332.1;F003|KAN1699333.1;F003|KAN1703276.1	Q8IZJ3	GO:0001654; P:eye development; IMP:UniProtKB
cluster3199	4	F003|KAN1694808.1;F003|KAN1700274.1;F003|KAN1700950.1;F003|KAN1703308.1	Q95R48	GO:0040018; P:positive regulation of multicellular organism growth; IMP:FlyBase
cluster3200	4	F003|KAN1694827.1;F003|KAN1705038.1;F003|KAN1705083.1;F003|KAN1706997.1		
cluster3201	4	F003|KAN1694828.1;F003|KAN1697305.1;F003|KAN1699998.1;F003|KAN1714600.1		
cluster3202	4	F003|KAN1694842.1;F003|KAN1698228.1;F003|KAN1699306.1;F003|KAN1699681.1		
cluster3203	4	F003|KAN1694891.1;F003|KAN1695089.1;F003|KAN1695298.1;F003|KAN1698073.1		
cluster3204	4	F003|KAN1694905.1;F003|KAN1697351.1;F003|KAN1702262.1;F003|KAN1705580.1		
cluster3205	4	F003|KAN1694915.1;F003|KAN1694925.1;F003|KAN1703476.1;F003|KAN1704409.1		
cluster3206	4	F003|KAN1694941.1;F003|KAN1697355.1;F003|KAN1706426.1;F003|KAN1706665.1	Q5GFL6	GO:0046626; P:regulation of insulin receptor signaling pathway; IMP:UniProtKB
cluster3207	4	F003|KAN1694958.1;F003|KAN1699097.1;F003|KAN1702145.1;F003|KAN1702613.1		
cluster3208	4	F003|KAN1694968.1;F003|KAN1697101.1;F003|KAN1698015.1;F003|KAN1701539.1	Q9C0D3	GO:0051438; P:regulation of ubiquitin-protein transferase activity; IBA:GO_Central
cluster3209	4	F003|KAN1695016.1;F003|KAN1704734.1;F003|KAN1718380.1;F003|KAN1721344.1		
cluster3210	4	F003|KAN1695023.1;F003|KAN1695139.1;F003|KAN1697272.1;F003|KAN1704081.1		
cluster3211	4	F003|KAN1695083.1;F003|KAN1702943.1;F003|KAN1706834.1;F003|KAN1707541.1		
cluster3212	4	F003|KAN1695107.1;F003|KAN1696904.1;F003|KAN1697019.1;F003|KAN1702147.1		
cluster3213	4	F003|KAN1695144.1;F003|KAN1697301.1;F003|KAN1705827.1;F003|KAN1710716.1		
cluster3214	4	F003|KAN1695267.1;F003|KAN1696703.1;F003|KAN1701281.1;F003|KAN1703842.1		
cluster3215	4	F003|KAN1695288.1;F003|KAN1697311.1;F003|KAN1699049.1;F003|KAN1699050.1		
cluster3216	4	F003|KAN1695331.1;F003|KAN1696964.1;F003|KAN1697667.1;F003|KAN1698107.1	Q61037	GO:0035176; P:social behavior; ISO:MGI
cluster3217	4	F003|KAN1695366.1;F003|KAN1698055.1;F003|KAN1703720.1;F003|KAN1711119.1		
cluster3218	4	F003|KAN1695393.1;F003|KAN1699810.1;F003|KAN1701361.1;F003|KAN1702376.1		
cluster3219	4	F003|KAN1695450.1;F003|KAN1701328.1;F003|KAN1701329.1;F003|KAN1702084.1		
cluster3220	4	F003|KAN1695505.1;F003|KAN1699197.1;F003|KAN1701609.1;F003|KAN1705859.1		
cluster3221	4	F003|KAN1695555.1;F003|KAN1696398.1;F003|KAN1699414.1;F003|KAN1705074.1		
cluster3222	4	F003|KAN1695556.1;F003|KAN1697574.1;F003|KAN1700591.1;F003|KAN1702595.1		
cluster3223	4	F003|KAN1695653.1;F003|KAN1698838.1;F003|KAN1699551.1;F003|KAN1704780.1	Q60HG2	GO:0044319; P:wound healing, spreading of cells; ISS:UniProtKB
cluster3224	4	F003|KAN1695750.1;F003|KAN1696466.1;F003|KAN1704123.1;F003|KAN1711437.1	O73592	GO:0006355; P:regulation of transcription, DNA-templated; IEA:InterPro
cluster3225	4	F003|KAN1695779.1;F003|KAN1697746.1;F003|KAN1697747.1;F003|KAN1707907.1	Q4FAT7	GO:0019391; P:glucuronoside catabolic process; IBA:GO_Central
cluster3226	4	F003|KAN1695831.1;F003|KAN1699578.1;F003|KAN1699591.1;F003|KAN1707569.1		
cluster3227	4	F003|KAN1695871.1;F003|KAN1702254.1;F003|KAN1702255.1;F003|KAN1702256.1	Q9EQE1	GO:0016055; P:Wnt signaling pathway; IEA:UniProtKB-KW
cluster3228	4	F003|KAN1695882.1;F003|KAN1705715.1;F003|KAN1707858.1;F003|KAN1715238.1		
cluster3229	4	F003|KAN1696053.1;F003|KAN1699183.1;F003|KAN1705811.1;F003|KAN1712013.1		
cluster3230	4	F003|KAN1696210.1;F003|KAN1697291.1;F003|KAN1697523.1;F003|KAN1704993.1		
cluster3231	4	F003|KAN1696269.1;F003|KAN1696270.1;F003|KAN1699958.1;F003|KAN1699959.1		
cluster3232	4	F003|KAN1696355.1;F003|KAN1696455.1;F003|KAN1697913.1;F003|KAN1704439.1	Q6GPJ5	
cluster3233	4	F003|KAN1696389.1;F003|KAN1699825.1;F003|KAN1700139.1;F003|KAN1711122.1		
cluster3234	4	F003|KAN1696407.1;F003|KAN1696453.1;F003|KAN1696454.1;F003|KAN1698242.1	P20918	GO:0060707; P:trophoblast giant cell differentiation; IMP:MGI
cluster3235	4	F003|KAN1696411.1;F003|KAN1696424.1;F003|KAN1703009.1;F003|KAN1704165.1		
cluster3236	4	F003|KAN1696441.1;F003|KAN1699051.1;F003|KAN1723014.1;F003|KAN1723018.1		
cluster3237	4	F003|KAN1696523.1;F003|KAN1702421.1;F003|KAN1707880.1;F003|KAN1719953.1		
cluster3238	4	F003|KAN1696576.1;F003|KAN1696755.1;F003|KAN1697043.1;F003|KAN1709084.1		
cluster3239	4	F003|KAN1696629.1;F003|KAN1703782.1;F003|KAN1706033.1;F003|KAN1706102.1		
cluster3240	4	F003|KAN1696637.1;F003|KAN1703056.1;F003|KAN1708082.1;F003|KAN1716515.1		
cluster3241	4	F003|KAN1696732.1;F003|KAN1702791.1;F003|KAN1709831.1;F003|KAN1709866.1		
cluster3242	4	F003|KAN1696754.1;F003|KAN1699806.1;F003|KAN1699807.1;F003|KAN1700979.1	Q05B63	GO:0008033; P:tRNA processing; IEA:UniProtKB-KW
cluster3243	4	F003|KAN1696758.1;F003|KAN1698857.1;F003|KAN1700680.1;F003|KAN1705591.1		
cluster3244	4	F003|KAN1696774.1;F003|KAN1697726.1;F003|KAN1698147.1;F003|KAN1702278.1	Q6PGQ7	GO:0032880; P:regulation of protein localization; IMP:UniProtKB
cluster3245	4	F003|KAN1696794.1;F003|KAN1696795.1;F003|KAN1696796.1;F003|KAN1696797.1	A5D8W1	GO:0007283; P:spermatogenesis; IEA:UniProtKB-KW
cluster3246	4	F003|KAN1696957.1;F003|KAN1697158.1;F003|KAN1698456.1;F003|KAN1703452.1		
cluster3247	4	F003|KAN1697007.1;F003|KAN1699186.1;F003|KAN1699187.1;F003|KAN1701650.1		
cluster3248	4	F003|KAN1697088.1;F003|KAN1697091.1;F003|KAN1708138.1;F003|KAN1717525.1	Q9Z2I4	GO:0035385; P:Roundabout signaling pathway; IEA:InterPro
cluster3249	4	F003|KAN1697202.1;F003|KAN1697203.1;F003|KAN1697204.1;F003|KAN1702267.1	Q6ZVK9	GO:0006979; P:response to oxidative stress; NAS:UniProtKB
cluster3250	4	F003|KAN1697401.1;F003|KAN1704804.1;F003|KAN1706096.1;F003|KAN1710486.1		
cluster3251	4	F003|KAN1697464.1;F003|KAN1704220.1;F003|KAN1704814.1;F003|KAN1709419.1		
cluster3252	4	F003|KAN1697562.1;F003|KAN1699974.1;F003|KAN1700684.1;F003|KAN1702958.1		
cluster3253	4	F003|KAN1697596.1;F003|KAN1697939.1;F003|KAN1698428.1;F003|KAN1709161.1		
cluster3254	4	F003|KAN1697603.1;F003|KAN1704085.1;F003|KAN1705962.1;F003|KAN1711179.1		
cluster3255	4	F003|KAN1697633.1;F003|KAN1698617.1;F003|KAN1698908.1;F003|KAN1701103.1		
cluster3256	4	F003|KAN1697637.1;F003|KAN1701599.1;F003|KAN1702489.1;F003|KAN1705830.1		
cluster3257	4	F003|KAN1697914.1;F003|KAN1700049.1;F003|KAN1701092.1;F003|KAN1714800.1		
cluster3258	4	F003|KAN1697972.1;F003|KAN1698077.1;F003|KAN1706185.1;F003|KAN1716607.1		
cluster3259	4	F003|KAN1698075.1;F003|KAN1701636.1;F003|KAN1701637.1;F003|KAN1704916.1		
cluster3260	4	F003|KAN1698116.1;F003|KAN1701862.1;F003|KAN1707507.1;F003|KAN1709848.1		
cluster3261	4	F003|KAN1698157.1;F003|KAN1699012.1;F003|KAN1708708.1;F003|KAN1713520.1		
cluster3262	4	F003|KAN1698357.1;F003|KAN1700920.1;F003|KAN1702227.1;F003|KAN1710254.1		
cluster3263	4	F003|KAN1698415.1;F003|KAN1699790.1;F003|KAN1700844.1;F003|KAN1703709.1		
cluster3264	4	F003|KAN1698424.1;F003|KAN1698888.1;F003|KAN1700864.1;F003|KAN1705543.1		
cluster3265	4	F003|KAN1698458.1;F003|KAN1702001.1;F003|KAN1703968.1;F003|KAN1708524.1		
cluster3266	4	F003|KAN1698606.1;F003|KAN1700044.1;F003|KAN1700691.1;F003|KAN1702023.1		
cluster3267	4	F003|KAN1698802.1;F003|KAN1700435.1;F003|KAN1704067.1;F003|KAN1705902.1		
cluster3268	4	F003|KAN1699029.1;F003|KAN1700365.1;F003|KAN1702030.1;F003|KAN1703325.1	B3EWZ3	GO:0016021; C:integral component of membrane; IEA:UniProtKB-KW
cluster3269	4	F003|KAN1699559.1;F003|KAN1701934.1;F003|KAN1717559.1;F003|KAN1718116.1		
cluster3270	4	F003|KAN1699608.1;F003|KAN1704652.1;F003|KAN1705858.1;F003|KAN1712893.1		
cluster3271	4	F003|KAN1699699.1;F003|KAN1702502.1;F003|KAN1702609.1;F003|KAN1707000.1		
cluster3272	4	F003|KAN1699762.1;F003|KAN1700065.1;F003|KAN1701463.1;F003|KAN1701757.1	O64763	GO:0010200; P:response to chitin; IEP:TAIR
cluster3273	4	F003|KAN1699811.1;F003|KAN1700494.1;F003|KAN1701360.1;F003|KAN1701659.1		
cluster3274	4	F003|KAN1699850.1;F003|KAN1700683.1;F003|KAN1715202.1;F003|KAN1721919.1		
cluster3275	4	F003|KAN1699895.1;F003|KAN1702283.1;F003|KAN1704191.1;F003|KAN1705103.1		
cluster3276	4	F003|KAN1700000.1;F003|KAN1701005.1;F003|KAN1703971.1;F003|KAN1714599.1		
cluster3277	4	F003|KAN1700495.1;F003|KAN1700960.1;F003|KAN1705625.1;F003|KAN1714601.1		
cluster3278	4	F003|KAN1700555.1;F003|KAN1703291.1;F003|KAN1705964.1;F003|KAN1720497.1		
cluster3279	4	F003|KAN1700581.1;F003|KAN1701864.1;F003|KAN1701865.1;F003|KAN1705156.1		
cluster3280	4	F003|KAN1701644.1;F003|KAN1702151.1;F003|KAN1702209.1;F003|KAN1702493.1		
cluster3281	4	F003|KAN1702435.1;F003|KAN1715459.1;F003|KAN1721461.1;F003|KAN1721462.1	P30372	GO:0009615; P:response to virus; IEA:Ensembl
cluster3282	4	F003|KAN1702864.1;F003|KAN1703201.1;F003|KAN1706235.1;F003|KAN1707464.1		
cluster3283	4	F003|KAN1704794.1;F003|KAN1710051.1;F003|KAN1710052.1;F003|KAN1710327.1		
cluster3284	4	F003|KAN1704947.1;F003|KAN1704948.1;F003|KAN1709560.1;F003|KAN1709561.1	Q1XA76	GO:0035725; P:sodium ion transmembrane transport; IDA:UniProtKB
cluster3285	4	F003|KAN1705322.1;F003|KAN1705323.1;F003|KAN1707067.1;F003|KAN1708160.1		
cluster3286	4	F003|KAN1706356.1;F003|KAN1707166.1;F003|KAN1708872.1;F003|KAN1708873.1		
cluster3287	4	F003|KAN1706756.1;F003|KAN1709524.1;F003|KAN1710965.1;F003|KAN1710967.1	Q6P3V3	GO:0051607; P:defense response to virus; IEA:UniProtKB-KW
cluster3288	4	F003|KAN1710553.1;F003|KAN1710554.1;F003|KAN1715710.1;F003|KAN1719890.1		
cluster3289	4	F003|KAN1719946.1;F003|KAN1720389.1;F003|KAN1720390.1;F003|KAN1720391.1	Q9HCY6	GO:0005886; C:plasma membrane; IEA:UniProtKB-SubCell
cluster3290	4	F003|KAN1721745.1;F003|KAN1721746.1;F003|KAN1721747.1;F003|KAN1721748.1	Q96RW7	GO:0007601; P:visual perception; IEA:UniProtKB-KW
cluster3291	4	F003|KAN1722345.1;F003|KAN1722346.1;F003|KAN1722347.1;F003|KAN1722348.1		
cluster6560	3	F003|KAN1694638.1;F003|KAN1696990.1;F003|KAN1707230.1		
cluster6561	3	F003|KAN1694668.1;F003|KAN1705844.1;F003|KAN1705845.1		
cluster6562	3	F003|KAN1694745.1;F003|KAN1705909.1;F003|KAN1707564.1		
cluster6563	3	F003|KAN1694751.1;F003|KAN1709340.1;F003|KAN1709342.1	O15439	GO:0055085; P:transmembrane transport; IBA:GO_Central
cluster6564	3	F003|KAN1694816.1;F003|KAN1695313.1;F003|KAN1701826.1	Q5GLZ8	GO:0007283; P:spermatogenesis; ISS:UniProtKB
cluster6565	3	F003|KAN1694849.1;F003|KAN1708518.1;F003|KAN1720851.1		
cluster6566	3	F003|KAN1694898.1;F003|KAN1699627.1;F003|KAN1702617.1		
cluster6567	3	F003|KAN1694912.1;F003|KAN1695046.1;F003|KAN1698002.1	Q9UHJ3	GO:0007283; P:spermatogenesis; IEA:UniProtKB-KW
cluster6568	3	F003|KAN1694950.1;F003|KAN1695739.1;F003|KAN1701997.1		
cluster6569	3	F003|KAN1694989.1;F003|KAN1700116.1;F003|KAN1710873.1		
cluster6570	3	F003|KAN1695039.1;F003|KAN1696992.1;F003|KAN1707114.1		
cluster6571	3	F003|KAN1695053.1;F003|KAN1696213.1;F003|KAN1705756.1		
cluster6572	3	F003|KAN1695106.1;F003|KAN1701084.1;F003|KAN1712510.1		
cluster6573	3	F003|KAN1695110.1;F003|KAN1698218.1;F003|KAN1698628.1		
cluster6574	3	F003|KAN1695172.1;F003|KAN1697785.1;F003|KAN1706518.1		
cluster6575	3	F003|KAN1695184.1;F003|KAN1697455.1;F003|KAN1699869.1		
cluster6576	3	F003|KAN1695212.1;F003|KAN1696927.1;F003|KAN1716335.1		
cluster6577	3	F003|KAN1695221.1;F003|KAN1699577.1;F003|KAN1705205.1		
cluster6578	3	F003|KAN1695257.1;F003|KAN1705412.1;F003|KAN1705413.1		
cluster6579	3	F003|KAN1695271.1;F003|KAN1695823.1;F003|KAN1701343.1	O95140	GO:0006986; P:response to unfolded protein; IEA:UniProtKB-KW
cluster6580	3	F003|KAN1695278.1;F003|KAN1695553.1;F003|KAN1711641.1	Q6QI06	GO:0031929; P:TOR signaling; IEA:InterPro
cluster6581	3	F003|KAN1695285.1;F003|KAN1696185.1;F003|KAN1703188.1		
cluster6582	3	F003|KAN1695286.1;F003|KAN1697900.1;F003|KAN1715309.1		
cluster6583	3	F003|KAN1695333.1;F003|KAN1696204.1;F003|KAN1721655.1	A1L0T3	GO:0005044; F:scavenger receptor activity; IEA:InterPro
cluster6584	3	F003|KAN1695358.1;F003|KAN1707053.1;F003|KAN1710923.1		
cluster6585	3	F003|KAN1695409.1;F003|KAN1699312.1;F003|KAN1715707.1		
cluster6586	3	F003|KAN1695416.1;F003|KAN1702494.1;F003|KAN1707955.1		
cluster6587	3	F003|KAN1695447.1;F003|KAN1695448.1;F003|KAN1701172.1		
cluster6588	3	F003|KAN1695543.1;F003|KAN1697748.1;F003|KAN1707908.1	Q5R5N6	GO:0005975; P:carbohydrate metabolic process; IEA:InterPro
cluster6589	3	F003|KAN1695548.1;F003|KAN1699033.1;F003|KAN1700624.1		
cluster6590	3	F003|KAN1695554.1;F003|KAN1696910.1;F003|KAN1700242.1		
cluster6591	3	F003|KAN1695625.1;F003|KAN1696500.1;F003|KAN1703588.1		
cluster6592	3	F003|KAN1695633.1;F003|KAN1703451.1;F003|KAN1703453.1		
cluster6593	3	F003|KAN1695781.1;F003|KAN1698411.1;F003|KAN1721905.1	Q9TZM3	GO:0048489; P:synaptic vesicle transport; IMP:WormBase
cluster6594	3	F003|KAN1695891.1;F003|KAN1702478.1;F003|KAN1703838.1		
cluster6595	3	F003|KAN1695903.1;F003|KAN1696988.1;F003|KAN1713525.1		
cluster6596	3	F003|KAN1695955.1;F003|KAN1698292.1;F003|KAN1702509.1		
cluster6597	3	F003|KAN1695972.1;F003|KAN1702926.1;F003|KAN1702927.1		
cluster6598	3	F003|KAN1695985.1;F003|KAN1698130.1;F003|KAN1704240.1		
cluster6599	3	F003|KAN1695993.1;F003|KAN1697926.1;F003|KAN1702312.1	Q8TEH4	GO:0042147; P:retrograde transport, endosome to Golgi; IMP:UniProtKB
cluster6600	3	F003|KAN1696010.1;F003|KAN1704442.1;F003|KAN1704658.1		
cluster6601	3	F003|KAN1696080.1;F003|KAN1703462.1;F003|KAN1713324.1		
cluster6602	3	F003|KAN1696091.1;F003|KAN1696587.1;F003|KAN1702672.1	Q0VG85	
cluster6603	3	F003|KAN1696106.1;F003|KAN1701148.1;F003|KAN1701796.1		
cluster6604	3	F003|KAN1696122.1;F003|KAN1701257.1;F003|KAN1711751.1		
cluster6605	3	F003|KAN1696221.1;F003|KAN1696506.1;F003|KAN1698718.1	P10506	GO:0031098; P:stress-activated protein kinase signaling cascade; IBA:GO_Central
cluster6606	3	F003|KAN1696357.1;F003|KAN1701181.1;F003|KAN1703959.1	Q3T030	GO:0030163; P:protein catabolic process; IEA:InterPro
cluster6607	3	F003|KAN1696414.1;F003|KAN1715374.1;F003|KAN1715375.1		
cluster6608	3	F003|KAN1696437.1;F003|KAN1704938.1;F003|KAN1717047.1		
cluster6609	3	F003|KAN1696511.1;F003|KAN1703147.1;F003|KAN1705398.1		
cluster6610	3	F003|KAN1696522.1;F003|KAN1702540.1;F003|KAN1710151.1		
cluster6611	3	F003|KAN1696638.1;F003|KAN1697283.1;F003|KAN1709139.1		
cluster6612	3	F003|KAN1696648.1;F003|KAN1700894.1;F003|KAN1715664.1		
cluster6613	3	F003|KAN1696672.1;F003|KAN1700319.1;F003|KAN1720809.1	Q04833	GO:0015918; P:sterol transport; IMP:WormBase
cluster6614	3	F003|KAN1696775.1;F003|KAN1699217.1;F003|KAN1711769.1		
